device_time_stamp,system_time_stamp,left_gaze_point_on_display_area,left_gaze_point_in_user_coordinate_system,left_gaze_point_validity,left_pupil_diameter,left_pupil_validity,left_gaze_origin_in_user_coordinate_system,left_gaze_origin_in_trackbox_coordinate_system,left_gaze_origin_validity,right_gaze_point_on_display_area,right_gaze_point_in_user_coordinate_system,right_gaze_point_validity,right_pupil_diameter,right_pupil_validity,right_gaze_origin_in_user_coordinate_system,right_gaze_origin_in_trackbox_coordinate_system,right_gaze_origin_validity
574163079,6514455493852,"(0.6005252003669739, 0.30517956614494324)","(74.55455017089844, 202.82456970214844, 63.180328369140625)",1,2.1913604736328125,1,"(-34.46241760253906, 6.179555892944336, 601.0640869140625)","(0.5790395736694336, 0.479714572429657, 0.34608644247055054)",1,"(0.5867927074432373, 0.3368869721889496)","(67.27427673339844, 193.93934631347656, 59.94635009765625)",1,2.256591796875,1,"(26.21932029724121, -3.6028590202331543, 613.2141723632812)","(0.4429705739021301, 0.5010873675346375, 0.37116751074790955)",1
574171412,6514455502185,"(0.6047442555427551, 0.3046823740005493)","(76.791259765625, 202.96388244628906, 63.23102569580078)",1,2.1876220703125,1,"(-34.52775192260742, 6.180125713348389, 601.1376342773438)","(0.5791763067245483, 0.4797185957431793, 0.34625402092933655)",1,"(0.5910627245903015, 0.32735732197761536)","(69.53804016113281, 196.6097869873047, 60.9183464050293)",1,2.264923095703125,1,"(26.185834884643555, -3.597898006439209, 613.248291015625)","(0.4430483281612396, 0.5010778307914734, 0.371238648891449)",1
574179745,6514455510518,"(0.6013793349266052, 0.3067423701286316)","(75.00736236572266, 202.38662719726562, 63.020912170410156)",1,2.181488037109375,1,"(-34.58661651611328, 6.186505317687988, 601.3326416015625)","(0.5792803764343262, 0.479716956615448, 0.3466847240924835)",1,"(0.5918775200843811, 0.3265777826309204)","(69.97000122070312, 196.8282470703125, 60.997825622558594)",1,2.2623443603515625,1,"(26.14491081237793, -3.590693950653076, 613.3770141601562)","(0.44315260648727417, 0.5010657906532288, 0.37151461839675903)",1
574188078,6514455518851,"(0.6004036664962769, 0.30242660641670227)","(74.49011993408203, 203.59597778320312, 63.46113586425781)",1,2.181182861328125,1,"(-34.634521484375, 6.1757659912109375, 601.3170166015625)","(0.5793907046318054, 0.4797406792640686, 0.3466562032699585)",1,"(0.5905246138572693, 0.3252561092376709)","(69.25273132324219, 197.19859313964844, 61.13264846801758)",1,2.24664306640625,1,"(26.089351654052734, -3.588658332824707, 613.3086547851562)","(0.44326815009117126, 0.5010602474212646, 0.37136110663414)",1
574196412,6514455527185,"(0.5990497469902039, 0.3038462996482849)","(73.77234649658203, 203.19815063476562, 63.3162956237793)",1,2.1795501708984375,1,"(-34.68157196044922, 6.154626846313477, 601.1220092773438)","(0.5795257687568665, 0.4797768294811249, 0.34623757004737854)",1,"(0.586069643497467, 0.331234335899353)","(66.89095306396484, 195.5233612060547, 60.522918701171875)",1,2.2476959228515625,1,"(26.044776916503906, -3.5865836143493652, 613.176025390625)","(0.443352609872818, 0.5010530352592468, 0.371069073677063)",1
574204746,6514455535519,"(0.5951608419418335, 0.3077653646469116)","(71.71061706542969, 202.09994506835938, 62.91658401489258)",1,2.1955108642578125,1,"(-34.74037170410156, 6.153000831604004, 601.1254272460938)","(0.579658031463623, 0.47978147864341736, 0.3462521731853485)",1,"(0.5839118361473083, 0.3302396237850189)","(65.74698638916016, 195.80210876464844, 60.624359130859375)",1,2.2564239501953125,1,"(26.0078067779541, -3.5827834606170654, 613.06396484375)","(0.44342249631881714, 0.5010423064231873, 0.37082239985466003)",1
574213079,6514455543852,"(0.5943154692649841, 0.30423226952552795)","(71.26245880126953, 203.08999633789062, 63.27695083618164)",1,2.1824951171875,1,"(-34.79789352416992, 6.136858940124512, 601.0081176757812)","(0.5798053741455078, 0.47981125116348267, 0.346003919839859)",1,"(0.5819294452667236, 0.3286166787147522)","(64.69599151611328, 196.25689697265625, 60.789878845214844)",1,2.2398529052734375,1,"(25.953027725219727, -3.5768258571624756, 613.1207885742188)","(0.4435497522354126, 0.5010314583778381, 0.37094104290008545)",1
574221412,6514455552185,"(0.5935297608375549, 0.3073078989982605)","(70.84590911865234, 202.22813415527344, 62.9632453918457)",1,2.1836395263671875,1,"(-34.86372375488281, 6.115047454833984, 600.8799438476562)","(0.579973042011261, 0.47985318303108215, 0.345732718706131)",1,"(0.5831741094589233, 0.323284387588501)","(65.35588836669922, 197.75112915039062, 61.33374786376953)",1,2.2641143798828125,1,"(25.886323928833008, -3.5793709754943848, 613.19921875)","(0.4437054395675659, 0.5010398626327515, 0.37110528349876404)",1
574229746,6514455560519,"(0.5919085741043091, 0.3031924366950989)","(69.9864501953125, 203.38137817382812, 63.38301086425781)",1,2.1822357177734375,1,"(-34.94013595581055, 6.1002960205078125, 600.9205932617188)","(0.5801393985748291, 0.47988972067832947, 0.345829576253891)",1,"(0.5778804421424866, 0.3297945559024811)","(62.54946517944336, 195.92681884765625, 60.66973114013672)",1,2.2418212890625,1,"(25.825603485107422, -3.5865302085876465, 613.047119140625)","(0.44382360577583313, 0.5010525584220886, 0.370769202709198)",1
574238079,6514455568852,"(0.5852602124214172, 0.29859474301338196)","(66.46183776855469, 204.66976928710938, 63.8519172668457)",1,2.1737060546875,1,"(-35.0175666809082, 6.073563575744629, 600.8822631835938)","(0.5803198218345642, 0.4799482524394989, 0.345754474401474)",1,"(0.5805650949478149, 0.327155739068985)","(63.97270965576172, 196.66629028320312, 60.93889617919922)",1,2.25054931640625,1,"(25.760173797607422, -3.5835464000701904, 612.9686279296875)","(0.4439600706100464, 0.5010448694229126, 0.37059298157691956)",1
